2024-10-16 10:38:36  47
2024-10-16 10:38:37  64
2024-10-16 10:38:38  40
2024-10-16 10:43:27  56
2024-10-16 10:43:28  99
2024-10-16 10:43:29  62
2024-10-16 10:43:30  64
2024-10-16 10:43:31  54
2024-10-16 10:43:32  52
2024-10-16 10:43:33  50
2024-10-16 10:45:27  44
2024-10-16 10:45:28  99
2024-10-16 10:45:29  57
2024-10-16 10:45:30  82
2024-10-16 10:45:31  100
2024-10-16 10:45:32  68
2024-10-16 10:45:33  48
2024-10-16 10:46:04  85
2024-10-16 10:46:05  48
2024-10-16 10:46:06  49
2024-10-16 10:46:07  98
2024-10-16 10:46:08  72
2024-10-16 10:46:09  93
2024-10-16 10:46:10  75
2024-10-16 10:46:11  62
2024-10-16 10:57:01  44
2024-10-16 10:57:02  74
2024-10-16 10:57:03  94
2024-10-16 10:57:04  80
2024-10-16 11:09:29 lmz 79
2024-10-16 11:09:30 lmz 96
2024-10-16 11:09:31 lmz 43
2024-10-16 11:09:32 lmz 76
2024-10-16 11:09:33 lmz 99
2024-10-16 11:09:34 lmz 71
2024-10-16 11:09:35 lmz 98
2024-10-16 11:09:36 lmz 58
2024-10-16 11:09:37 lmz 41
2024-10-16 11:09:38 lmz 80
2024-10-16 11:09:39 lmz 48
2024-10-16 11:09:40 lmz 97
2024-10-16 11:09:41 lmz 100
2024-10-16 11:09:42 lmz 78
2024-10-16 11:09:43 lmz 66
2024-10-16 11:09:44 lmz 80
2024-10-16 11:09:45 lmz 79
2024-10-16 11:09:46 lmz 40
2024-10-16 11:09:47 lmz 91
2024-10-16 11:09:48 lmz 79
2024-10-16 11:09:49 lmz 52
2024-10-16 11:09:50 lmz 74
2024-10-16 11:09:51 lmz 51
2024-10-16 11:09:52 lmz 55
2024-10-16 11:09:53 lmz 100
2024-10-16 11:09:54 lmz 99
2024-10-16 11:09:55 lmz 47
2024-10-16 11:09:56 lmz 88
2024-10-16 11:09:57 lmz 66
2024-10-16 11:09:58 lmz 64
2024-10-16 11:09:59 lmz 94
2024-10-16 11:10:00 lmz 42
2024-10-16 11:10:01 lmz 55
2024-10-16 11:10:02 lmz 93
2024-10-16 11:10:03 lmz 99
2024-10-16 11:10:04 lmz 65
2024-10-16 11:10:05 lmz 98
2024-10-16 11:10:06 lmz 85
2024-10-16 11:10:07 lmz 48
2024-10-16 11:10:08 lmz 86
2024-10-16 11:10:09 lmz 69
2024-10-16 11:10:10 lmz 88
2024-10-16 11:10:11 lmz 77
2024-10-16 11:10:12 lmz 72
2024-10-16 11:10:13 lmz 48
2024-10-16 11:10:14 lmz 50
2024-10-16 11:10:15 lmz 83
2024-10-16 11:10:16 lmz 51
2024-10-16 11:10:17 lmz 49
2024-10-16 11:10:18 lmz 71
2024-10-16 11:10:19 lmz 64
2024-10-16 11:10:20 lmz 84
2024-10-16 11:10:21 lmz 81
2024-10-16 11:10:22 lmz 86
2024-10-16 11:10:23 lmz 54
2024-10-16 11:10:24 lmz 53
2024-10-16 11:10:25 lmz 59
2024-10-16 11:10:26 lmz 64
2024-10-16 11:10:27 lmz 64
2024-10-16 11:10:28 lmz 48
2024-10-16 11:10:29 lmz 54
2024-10-16 11:10:30 lmz 72
2024-10-16 11:10:31 lmz 52
2024-10-16 11:10:32 lmz 55
2024-10-16 11:10:33 lmz 77
2024-10-16 11:10:34 lmz 84
2024-10-16 11:10:35 lmz 92
2024-10-16 11:10:36 lmz 45
2024-10-16 11:10:37 lmz 97
2024-10-16 11:10:38 lmz 60
2024-10-16 11:10:39 lmz 64
2024-10-16 11:10:40 lmz 62
2024-10-16 11:10:41 lmz 51
2024-10-16 11:10:42 lmz 91
2024-10-16 11:10:43 lmz 65
2024-10-16 11:10:44 lmz 89
2024-10-16 11:10:45 lmz 95
2024-10-16 11:10:46 lmz 95
2024-10-16 11:10:47 lmz 76
2024-10-16 11:10:48 lmz 87
2024-10-16 11:10:49 lmz 52
2024-10-16 11:10:50 lmz 44
2024-10-16 11:10:51 lmz 58
2024-10-16 11:10:52 lmz 99
2024-10-16 11:10:53 lmz 93
2024-10-16 11:10:54 lmz 82
2024-10-16 11:10:55 lmz 52
2024-10-16 11:10:56 lmz 96
2024-10-16 11:10:57 lmz 92
2024-10-16 11:10:58 lmz 93
2024-10-16 11:10:59 lmz 59
2024-10-16 11:11:00 lmz 41
2024-10-16 11:11:01 lmz 63
2024-10-16 11:11:02 lmz 80
2024-10-16 11:11:03 lmz 49
2024-10-16 11:11:04 lmz 99
2024-10-16 11:11:05 lmz 75
2024-10-16 11:11:06 lmz 58
2024-10-16 11:11:07 lmz 52
2024-10-16 11:11:08 lmz 95
2024-10-16 11:11:09 lmz 46
2024-10-16 11:11:10 lmz 92
2024-10-16 11:11:11 lmz 49
2024-10-16 11:11:12 lmz 60
2024-10-16 11:11:13 lmz 65
2024-10-16 11:11:14 lmz 67
2024-10-16 11:11:15 lmz 55
2024-10-16 11:11:16 lmz 71
2024-10-16 11:11:17 lmz 82
2024-10-16 11:11:18 lmz 87
2024-10-16 11:11:19 lmz 40
2024-10-16 11:11:20 lmz 66
2024-10-16 11:11:21 lmz 72
2024-10-16 11:11:22 lmz 49
2024-10-16 11:11:23 lmz 53
2024-10-16 11:11:24 lmz 90
2024-10-16 11:11:25 lmz 95
2024-10-16 11:11:26 lmz 95
2024-10-16 11:11:27 lmz 67
2024-10-16 11:11:28 lmz 51
2024-10-16 11:11:29 lmz 56
2024-10-16 11:11:30 lmz 86
2024-10-16 11:11:31 lmz 57
2024-10-16 11:11:32 lmz 40
2024-10-16 11:11:33 lmz 93
2024-10-16 11:11:34 lmz 71
2024-10-16 11:11:35 lmz 40
2024-10-16 11:11:36 lmz 63
2024-10-16 11:11:37 lmz 82
2024-10-16 11:11:38 lmz 72
2024-10-16 11:11:39 lmz 70
2024-10-16 11:11:40 lmz 89
2024-10-16 11:11:41 lmz 71
2024-10-16 11:11:42 lmz 73
2024-10-16 11:11:43 lmz 81
2024-10-16 11:11:44 lmz 49
2024-10-16 11:11:45 lmz 59
2024-10-16 11:11:46 lmz 63
2024-10-16 11:11:47 lmz 97
2024-10-16 11:11:48 lmz 47
2024-10-16 11:11:49 lmz 69
2024-10-16 11:11:50 lmz 78
2024-10-16 11:11:51 lmz 60
2024-10-16 11:11:52 lmz 75
2024-10-16 11:11:53 lmz 90
2024-10-16 11:11:54 lmz 52
2024-10-16 11:11:55 lmz 72
2024-10-16 11:11:56 lmz 60
2024-10-16 11:11:57 lmz 82
2024-10-16 11:11:58 lmz 53
2024-10-16 11:11:59 lmz 58
2024-10-16 11:12:00 lmz 56
2024-10-16 11:12:01 lmz 98
2024-10-16 11:12:02 lmz 44
2024-10-16 11:12:03 lmz 80
2024-10-16 11:12:04 lmz 75
2024-10-16 11:12:05 lmz 48
2024-10-16 11:12:06 lmz 40
2024-10-16 11:12:07 lmz 57
2024-10-16 11:12:08 lmz 40
2024-10-16 11:12:09 lmz 73
2024-10-16 11:12:10 lmz 42
2024-10-16 11:12:11 lmz 59
2024-10-16 11:12:12 lmz 77
2024-10-16 11:12:13 lmz 40
2024-10-16 11:12:14 lmz 69
2024-10-16 11:12:15 lmz 48
2024-10-16 11:12:16 lmz 61
2024-10-16 11:12:17 lmz 81
2024-10-16 11:12:18 lmz 42
2024-10-16 11:12:19 lmz 77
2024-10-16 11:12:20 lmz 73
2024-10-16 11:12:21 lmz 72
2024-10-16 11:12:22 lmz 40
2024-10-16 11:12:23 lmz 100
2024-10-16 11:12:24 lmz 85
2024-10-16 11:12:25 lmz 96
2024-10-16 11:12:26 lmz 68
2024-10-16 11:12:27 lmz 93
2024-10-16 11:12:28 lmz 64
2024-10-16 11:12:29 lmz 61
2024-10-16 11:12:30 lmz 88
2024-10-16 11:12:31 lmz 59
2024-10-16 11:12:32 lmz 58
2024-10-16 11:12:33 lmz 48
2024-10-16 11:12:34 lmz 72
2024-10-16 11:12:35 lmz 67
2024-10-16 11:12:36 lmz 85
2024-10-16 11:12:37 lmz 57
2024-10-16 11:12:38 lmz 46
2024-10-16 11:12:39 lmz 100
2024-10-16 11:12:40 lmz 42
2024-10-16 11:12:41 lmz 76
2024-10-16 11:12:42 lmz 88
2024-10-16 11:12:43 lmz 77
2024-10-16 11:12:44 lmz 82
2024-10-16 11:12:45 lmz 91
2024-10-16 11:12:46 lmz 52
2024-10-16 11:12:47 lmz 41
2024-10-16 11:12:48 lmz 40
2024-10-16 11:12:49 lmz 75
2024-10-16 11:12:50 lmz 83
2024-10-16 11:12:51 lmz 88
2024-10-16 11:12:52 lmz 80
2024-10-16 11:12:53 lmz 43
2024-10-16 11:12:54 lmz 77
2024-10-16 11:12:55 lmz 99
2024-10-16 11:12:56 lmz 60
2024-10-16 11:12:57 lmz 50
2024-10-16 11:12:58 lmz 52
2024-10-16 11:12:59 lmz 89
2024-10-16 11:13:00 lmz 41
2024-10-16 11:13:01 lmz 41
2024-10-16 11:13:02 lmz 84
2024-10-16 11:13:03 lmz 57
2024-10-16 11:13:04 lmz 69
2024-10-16 11:13:05 lmz 63
